v_sh600528="1~中铁工业~600528~9.17~8.34~8.36~1489537~551519~938019~9.17~121110~9.16~14057~9.15~46~9.14~38~9.13~26~0.00~0~0.00~0~0.00~0~0.00~0~0.00~0~~20260331161427~0.83~9.95~9.17~8.33~9.17/1489537/1327340774~1489537~132734~6.70~14.90~~9.17~8.33~10.07~203.72~203.72~0.81~9.17~7.51~5.73~135277~8.91~14.90~14.90~~~1.13~132734.0774~0.0000~0~ ~GP-A~12.10~19.56~1.13~4.93~2.04~11.90~7.03~8.65~9.17~12.79~2221551588~2221551588~100.00~25.34~2221551588~~~12.99~0.00~~CNY~0~___D__F__N~9.08~216~";
v_sz300457="51~赢合科技~300457~26.03~27.15~27.15~236897~108596~128301~26.03~135~26.02~190~26.01~9~26.00~49~25.99~35~26.04~101~26.05~163~26.06~429~26.07~1590~26.08~1002~~20260331161430~-1.12~-4.13~27.36~25.94~26.03/236897/628929181~236897~62893~3.74~31.21~~27.36~25.94~5.23~164.97~167.94~2.47~32.58~21.72~1.33~-2867~26.55~31.21~31.21~~~1.77~62892.9181~1.5618~6~ A~GP-A-CYB~-6.54~8.14~0.45~7.90~4.02~39.49~14.91~5.38~2.20~-2.69~633752248~645179428~-77.42~23.86~633752248~~~33.04~0.00~~CNY~0~~26.09~-1000~";
v_sz002858="51~力盛体育~002858~16.10~15.83~15.85~173149~85203~87946~16.09~17~16.08~81~16.06~20~16.05~44~16.03~30~16.10~329~16.11~15~16.12~177~16.13~79~16.14~53~~20260331161433~0.27~1.71~16.58~15.70~16.10/173149/278688247~173149~27869~11.78~-85.27~~16.58~15.70~5.56~23.66~26.39~4.85~17.41~14.25~1.89~-461~16.10~89.89~-67.91~~~1.46~27868.8247~0.0000~0~ ~GP-A~7.33~12.12~0.00~-5.69~-0.58~17.97~9.20~5.92~4.21~5.85~146978438~163919838~-54.56~23.09~146978438~~~41.85~-0.25~~CNY~0~~16.15~-155~";
v_sh600867="1~通化东宝~600867~9.49~9.54~9.50~824255~394313~429942~9.49~519~9.48~1437~9.47~577~9.46~545~9.45~723~9.50~1570~9.51~3695~9.52~1228~9.53~1514~9.54~886~~20260331161416~-0.05~-0.52~9.67~9.42~9.49/824255/785015140~824255~78502~4.21~15.16~~9.67~9.42~2.62~185.87~185.87~2.61~10.49~8.59~1.67~-5092~9.52~11.60~-435.05~~~1.08~78501.5140~0.0000~0~ ~GP-A~16.16~13.52~2.61~17.20~14.84~9.68~6.75~5.80~6.87~13.65~1958542829~1958542829~-40.11~17.16~1958542829~~~29.61~-0.11~~CNY~0~___D__F__N~9.58~-4012~";
v_sz301153="51~中科江南~301153~24.84~24.18~24.13~169060~95591~73469~24.83~20~24.81~12~24.80~40~24.79~7~24.78~5~24.84~687~24.85~369~24.86~540~24.87~176~24.88~114~~20260331161412~0.66~2.73~24.96~24.02~24.84/169060/417258282~169060~41726~5.14~86.89~~24.96~24.02~3.89~81.78~87.65~4.74~29.02~19.34~1.88~-1802~24.68~86.89~86.89~~~1.77~41725.8282~0.0000~0~ AR~GP-A-CYB~0.49~20.88~0.72~5.46~4.20~28.50~18.88~14.52~18.40~22.79~329230008~352850580~-91.47~-1.23~329230008~~~-5.31~0.12~~CNY~0~~24.93~-309~";
v_sz300780="51~德恩精工~300780~22.51~21.89~22.08~236837~117740~119097~22.51~60~22.50~23~22.49~43~22.48~19~22.47~23~22.53~140~22.54~2~22.55~121~22.56~218~22.57~304~~20260331161457~0.62~2.83~23.80~21.79~22.51/236837/547507049~236837~54751~22.02~-26.18~~23.80~21.79~9.18~24.21~33.02~3.22~26.27~17.51~3.31~-617~23.12~-76.28~-25.25~~~1.87~54750.7049~2.9263~13~ A~GP-A-CYB~16.75~12.66~0.00~-12.32~-7.11~32.99~11.28~5.19~1.63~17.48~107535012~146670000~-64.74~40.51~107535012~~~47.80~-0.18~~CNY~0~~22.60~-315~";
v_sz301018="51~申菱环境~301018~91.52~97.11~97.33~96365~40526~55839~91.52~9~91.51~1~91.46~3~91.43~2~91.41~6~91.55~6~91.56~14~91.57~5~91.58~75~91.59~151~~20260331161403~-5.59~-5.76~97.99~91.19~91.52/96365/903004034~96365~90300~4.84~198.31~~97.99~91.19~7.00~182.12~243.49~9.18~116.53~77.69~1.02~-230~93.71~121.67~210.70~~~2.25~90300.4034~0.0000~0~ AR~GP-A-CYB~44.08~4.20~0.17~4.63~2.18~118.00~27.20~-4.68~-7.35~35.46~198999414~266052564~-84.56~148.16~198999414~~~133.95~-0.19~~CNY~0~~91.61~-60~";
v_sh688630="1~芯碁微装~688630~193.40~199.57~196.00~6331090~3143368~3187722~193.40~15~193.02~4~193.01~2~193.00~9~192.88~4~193.52~6~193.70~71~193.71~3~193.90~2~194.00~21~~20260331161455~-6.17~-3.09~200.00~190.90~193.40/6331090/1236334232~6331090~123633~4.81~87.88~~200.00~190.90~4.56~254.79~254.79~11.04~239.48~159.66~1.15~-69~195.28~87.88~87.88~~~2.61~123633.4232~0.0000~0~A R~GP-A-KCB~43.76~6.56~0.19~12.56~9.30~205.80~55.58~13.40~3.64~41.87~131740716~131740716~-50.36~151.20~131740716~~~162.38~0.12~~CNY~0~___D__F__NY~194.50~-29~100";
v_sh600528="1~中铁工业~600528~9.17~8.34~8.36~1489537~551519~938019~9.17~121110~9.16~14057~9.15~46~9.14~38~9.13~26~0.00~0~0.00~0~0.00~0~0.00~0~0.00~0~~20260331161427~0.83~9.95~9.17~8.33~9.17/1489537/1327340774~1489537~132734~6.70~14.90~~9.17~8.33~10.07~203.72~203.72~0.81~9.17~7.51~5.73~135277~8.91~14.90~14.90~~~1.13~132734.0774~0.0000~0~ ~GP-A~12.10~19.56~1.13~4.93~2.04~11.90~7.03~8.65~9.17~12.79~2221551588~2221551588~100.00~25.34~2221551588~~~12.99~0.00~~CNY~0~___D__F__N~9.08~216~";
v_sz300457="51~赢合科技~300457~26.03~27.15~27.15~236897~108596~128301~26.03~135~26.02~190~26.01~9~26.00~49~25.99~35~26.04~101~26.05~163~26.06~429~26.07~1590~26.08~1002~~20260331161430~-1.12~-4.13~27.36~25.94~26.03/236897/628929181~236897~62893~3.74~31.21~~27.36~25.94~5.23~164.97~167.94~2.47~32.58~21.72~1.33~-2867~26.55~31.21~31.21~~~1.77~62892.9181~1.5618~6~ A~GP-A-CYB~-6.54~8.14~0.45~7.90~4.02~39.49~14.91~5.38~2.20~-2.69~633752248~645179428~-77.42~23.86~633752248~~~33.04~0.00~~CNY~0~~26.09~-1000~";
